Region;Year;Industry;Professional position;Total ;Women;Men;Gender Pay Gap
Lake Geneva;2018;Hotels and restaurants;Lower management;4 950;4 717;5 102; 385
Lake Geneva;2018;Information and communication;Lower management;9 962;8 895;10 278;1 383
Lake Geneva;2018;Financial and insurance services;Lower management;11 462;11 060;11 895; 835
Lake Geneva;2018;Professional, scientific and technical services;Lower management;10 762;9 921;11 442;1 521
Lake Geneva;2018;Other business services;Lower management;6 467;6 848;6 383;- 465
Lake Geneva;2018;Health and social work;Lower management;7 867;7 690;8 194; 504
Lake Geneva;2018;Arts, entertainment and recreation;Lower management;9 958;9 003;10 884;1 881
Lake Geneva;2018;Other service activities Other service activities;Lower management;8 392;8 112;8 854; 742
Lake Geneva;2018;TOTAL;Lowest management;7 118;6 982;7 223; 241
Lake Geneva;2018;SECTOR 2 PRODUCTION;Lowest management;7 221;7 493;7 160;- 333
Lake Geneva;2018;Mining and quarrying;Lowest management;*;*;*;#WERT!
Lake Geneva;2018;Manufacturing/production of Goods;Lowest management;7 834;7 584;7 879; 295
Lake Geneva;2018;"Water supply; sewage and waste disposal";Lowest management;*;*;*;#WERT!
Lake Geneva;2018;Construction ;Lowest management;6 500;6 918;6 500;- 418
Lake Geneva;2018;SECTOR 3 SERVICES ;Lowest management;7 096;6 926;7 263; 337
Lake Geneva;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;6 449;6 418;6 498; 80
Lake Geneva;2018;Transportation and storage;Lowest management;6 396;5 888;6 574; 686
Lake Geneva;2018;Hotels and restaurants;Lowest management;4 678;4 425;4 747; 322
Lake Geneva;2018;Information and communication;Lowest management;9 092;7 408;9 412;2 004
Lake Geneva;2018;Financial and insurance services;Lowest management;9 362;8 627;10 104;1 477
Lake Geneva;2018;Professional, scientific and technical services;Lowest management;8 453;7 843;8 867;1 024
Lake Geneva;2018;Other business services;Lowest management;5 795;5 308;5 873; 565
Lake Geneva;2018;Health and social work;Lowest management;6 818;6 756;6 877; 121
Lake Geneva;2018;Arts, entertainment and recreation;Lowest management;7 445;7 698;7 295;- 403
Lake Geneva;2018;Other service activities Other service activities;Lowest management;7 000;6 823;7 494; 671
Lake Geneva;2018;TOTAL;No management;5 582;5 405;5 678; 273
Lake Geneva;2018;SECTOR 2 PRODUCTION;No management;6 000;5 680;6 066; 386
Lake Geneva;2018;Mining and quarrying;No management;5 827;*;5 872;#WERT!
Lake Geneva;2018;Manufacturing/production of Goods;No management;6 198;5 600;6 420; 820
Lake Geneva;2018;"Water supply; sewage and waste disposal";No management;5 441;5 610;5 408;- 202
Lake Geneva;2018;Construction ;No management;5 800;5 863;5 799;- 64
Lake Geneva;2018;SECTOR 3 SERVICES ;No management;5 380;5 369;5 385; 16
Lake Geneva;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;5 007;4 755;5 248; 493
Lake Geneva;2018;Transportation and storage;No management;5 370;5 404;5 365;- 39
Lake Geneva;2018;Hotels and restaurants;No management;4 212;4 105;4 283; 178
Lake Geneva;2018;Information and communication;No management;7 247;6 439;7 553;1 114
Lake Geneva;2018;Financial and insurance services;No management;6 990;6 633;7 841;1 208
