Region;Year;Nationality;Professional position;Statistics;Total;Women;Men;Gender Pay Gap
Midlands;2020;Other;Top, upper,  middle management;1 Quantile;6 588;5 684;6 871;1 187
Midlands;2020;Other;Top, upper,  middle management;3 Quantile;13 501;12 087;13 897;1 810
Midlands;2020;Total;Lower management;Median;7 696;7 118;8 002; 884
Midlands;2020;Total;Lower management;1 Quantile;6 392;5 712;6 684; 972
Midlands;2020;Total;Lower management;3 Quantile;9 461;8 647;9 835;1 188
Midlands;2020;Swiss;Lower management;Median;7 640;7 018;7 952; 934
Midlands;2020;Swiss;Lower management;1 Quantile;6 391;5 712;6 688; 976
Midlands;2020;Swiss;Lower management;3 Quantile;9 295;8 412;9 693;1 281
Midlands;2020;Other;Lower management;Median;8 057;7 724;8 218; 494
Midlands;2020;Other;Lower management;1 Quantile;6 445;5 717;6 616; 899
Midlands;2020;Other;Lower management;3 Quantile;10 277;9 954;10 349; 395
Midlands;2020;Total;Lowest management;Median;6 631;6 180;6 892; 712
Midlands;2020;Total;Lowest management;1 Quantile;5 632;5 149;5 929; 780
Midlands;2020;Total;Lowest management;3 Quantile;7 948;7 428;8 252; 824
Midlands;2020;Swiss;Lowest management;Median;6 695;6 205;7 013; 808
Midlands;2020;Swiss;Lowest management;1 Quantile;5 689;5 185;6 045; 860
Midlands;2020;Swiss;Lowest management;3 Quantile;7 976;7 411;8 355; 944
Midlands;2020;Other;Lowest management;Median;6 377;5 998;6 546; 548
Midlands;2020;Other;Lowest management;1 Quantile;5 429;5 012;5 667; 655
Midlands;2020;Other;Lowest management;3 Quantile;7 851;7 523;7 934; 411
Midlands;2020;Total;No management;Median;5 854;5 439;6 070; 631
Midlands;2020;Total;No management;1 Quantile;4 910;4 616;5 194; 578
Midlands;2020;Total;No management;3 Quantile;6 984;6 589;7 258; 669
Midlands;2020;Swiss;No management;Median;6 024;5 654;6 289; 635
Midlands;2020;Swiss;No management;1 Quantile;5 095;4 784;5 411; 627
Midlands;2020;Swiss;No management;3 Quantile;7 187;6 735;7 559; 824
Midlands;2020;Other;No management;Median;5 407;4 848;5 665; 817
Midlands;2020;Other;No management;1 Quantile;4 553;4 229;4 830; 601
Midlands;2020;Other;No management;3 Quantile;6 449;5 952;6 613; 661
Midlands;2018;Total;Total;Median;6 147;5 585;6 490; 905
Midlands;2018;Total;Total;1 Quantile;5 062;4 617;5 428; 811
Midlands;2018;Total;Total;3 Quantile;7 733;6 884;8 343;1 459
Midlands;2018;Swiss;Total;Median;6 356;5 773;6 798;1 025
Midlands;2018;Swiss;Total;1 Quantile;5 266;4 785;5 678; 893
Midlands;2018;Swiss;Total;3 Quantile;8 016;7 014;8 768;1 754
Midlands;2018;Other;Total;Median;5 580;4 918;5 844; 926
Midlands;2018;Other;Total;1 Quantile;4 620;4 236;4 959; 723
Midlands;2018;Other;Total;3 Quantile;6 893;6 270;7 138; 868
Midlands;2018;Total;Top, upper,  middle management;Median;9 354;7 542;9 960;2 418
Midlands;2018;Total;Top, upper,  middle management;1 Quantile;6 917;5 369;7 471;2 102
Midlands;2018;Total;Top, upper,  middle management;3 Quantile;12 495;10 176;13 089;2 913
Midlands;2018;Swiss;Top, upper,  middle management;Median;9 285;7 450;9 951;2 501
Midlands;2018;Swiss;Top, upper,  middle management;1 Quantile;6 933;5 355;7 531;2 176
Midlands;2018;Swiss;Top, upper,  middle management;3 Quantile;12 326;9 966;12 984;3 018
Midlands;2018;Other;Top, upper,  middle management;Median;9 638;8 095;10 000;1 905
Midlands;2018;Other;Top, upper,  middle management;1 Quantile;6 729;5 508;7 042;1 534
Midlands;2018;Other;Top, upper,  middle management;3 Quantile;13 542;12 324;13 863;1 539
Midlands;2018;Total;Lower management;Median;7 609;6 862;7 953;1 091
Midlands;2018;Total;Lower management;1 Quantile;6 179;5 365;6 586;1 221
Midlands;2018;Total;Lower management;3 Quantile;9 374;8 390;9 724;1 334
Midlands;2018;Swiss;Lower management;Median;7 544;6 804;7 930;1 126
Midlands;2018;Swiss;Lower management;1 Quantile;6 195;5 363;6 608;1 245
Midlands;2018;Swiss;Lower management;3 Quantile;9 196;8 167;9 619;1 452
