Year;Region;Industry;professional position category;Gross Pay Total ;Gross Pay Women ;Gross Pay Men ;Gender Pay Gap;;;;;;;;;;;
2018;Lake Geneva;Financial and insurance services;Top, upper,  middle management;16 667;13 955;17 667;3 712;;;;;;;;;;;
2018;Lake Geneva;Professional, scientific and technical services;Top, upper,  middle management;12 607;10 002;13 255;3 253;;;;;;;;;;;
2018;Lake Geneva;Other business services;Top, upper,  middle management;9 494;8 249;9 951;1 702;;;;;;;;;;;
2018;Lake Geneva;Health and social work;Top, upper,  middle management;11 111;10 319;11 918;1 599;;;;;;;;;;;
2018;Lake Geneva;Arts, entertainment and recreation;Top, upper,  middle management;10 295;9 341;11 158;1 817;;;;;;;;;;;
2018;Lake Geneva;Other service activities Other service activities;Top, upper,  middle management;9 608;8 742;10 098;1 356;;;;;;;;;;;
2018;Lake Geneva;TOTAL;Lower management;9 114;8 583;9 462; 879;;;;;;;;;;;
2018;Lake Geneva;SECTOR 2 PRODUCTION;Lower management;9 137;9 179;9 121;- 58;;;;;;;;;;;
2018;Lake Geneva;Mining and quarrying;Lower management;*;*;*;#WERT!;;;;;;;;;;;
2018;Lake Geneva;Manufacturing/production of Goods;Lower management;9 753;10 220;9 670;- 550;;;;;;;;;;;
2018;Lake Geneva;"Water supply; sewage and waste disposal";Lower management;8 516;*;8 686;#WERT!;;;;;;;;;;;
2018;Lake Geneva;Construction ;Lower management;6 953;6 122;7 219;1 097;;;;;;;;;;;
2018;Lake Geneva;SECTOR 3 SERVICES ;Lower management;9 111;8 550;9 572;1 022;;;;;;;;;;;
2018;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;9 582;8 602;10 429;1 827;;;;;;;;;;;
2018;Lake Geneva;Transportation and storage;Lower management;8 202;*;8 287;#WERT!;;;;;;;;;;;
2018;Lake Geneva;Hotels and restaurants;Lower management;4 950;4 717;5 102; 385;;;;;;;;;;;
2018;Lake Geneva;Information and communication;Lower management;10 000;8 895;10 290;1 395;;;;;;;;;;;
2018;Lake Geneva;Financial and insurance services;Lower management;11 242;10 725;11 491; 766;;;;;;;;;;;
2018;Lake Geneva;Professional, scientific and technical services;Lower management;10 762;9 921;11 382;1 461;;;;;;;;;;;
2018;Lake Geneva;Other business services;Lower management;6 910;7 041;6 845;- 196;;;;;;;;;;;
2018;Lake Geneva;Health and social work;Lower management;8 568;8 413;8 830; 417;;;;;;;;;;;
2018;Lake Geneva;Arts, entertainment and recreation;Lower management;10 001;9 196;10 804;1 608;;;;;;;;;;;
2018;Lake Geneva;Other service activities Other service activities;Lower management;8 392;8 112;8 875; 763;;;;;;;;;;;
2018;Lake Geneva;TOTAL;Lowest management;7 320;7 092;7 453; 361;;;;;;;;;;;
2018;Lake Geneva;SECTOR 2 PRODUCTION;Lowest management;7 272;7 500;7 206;- 294;;;;;;;;;;;
2018;Lake Geneva;Mining and quarrying;Lowest management;*;*;*;#WERT!;;;;;;;;;;;
2018;Lake Geneva;Manufacturing/production of Goods;Lowest management;7 834;7 584;7 879; 295;;;;;;;;;;;
2018;Lake Geneva;"Water supply; sewage and waste disposal";Lowest management;5 778;*;5 984;#WERT!;;;;;;;;;;;
2018;Lake Geneva;Construction ;Lowest management;6 500;6 893;6 500;- 393;;;;;;;;;;;
2018;Lake Geneva;SECTOR 3 SERVICES ;Lowest management;7 381;7 058;7 651; 593;;;;;;;;;;;
2018;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;6 449;6 418;6 498; 80;;;;;;;;;;;
2018;Lake Geneva;Transportation and storage;Lowest management;7 401;6 268;7 597;1 329;;;;;;;;;;;
2018;Lake Geneva;Hotels and restaurants;Lowest management;4 681;4 428;4 747; 319;;;;;;;;;;;
2018;Lake Geneva;Information and communication;Lowest management;9 106;7 408;9 424;2 016;;;;;;;;;;;
2018;Lake Geneva;Financial and insurance services;Lowest management;9 286;8 590;9 910;1 320;;;;;;;;;;;
2018;Lake Geneva;Professional, scientific and technical services;Lowest management;8 463;7 850;8 867;1 017;;;;;;;;;;;
2018;Lake Geneva;Other business services;Lowest management;6 266;5 763;6 462; 699;;;;;;;;;;;
2018;Lake Geneva;Health and social work;Lowest management;6 877;6 815;6 919; 104;;;;;;;;;;;
2018;Lake Geneva;Arts, entertainment and recreation;Lowest management;7 544;7 846;7 295;- 551;;;;;;;;;;;
2018;Lake Geneva;Other service activities Other service activities;Lowest management;6 992;6 847;7 381; 534;;;;;;;;;;;
2018;Lake Geneva;TOTAL;No management;5 999;6 036;5 973;- 63;;;;;;;;;;;
2018;Lake Geneva;SECTOR 2 PRODUCTION;No management;6 046;5 716;6 100; 384;;;;;;;;;;;
2018;Lake Geneva;Mining and quarrying;No management;5 827;*;5 872;#WERT!;;;;;;;;;;;
2018;Lake Geneva;Manufacturing/production of Goods;No management;6 198;5 600;6 420; 820;;;;;;;;;;;
2018;Lake Geneva;"Water supply; sewage and waste disposal";No management;5 950;5 716;5 984; 268;;;;;;;;;;;
2018;Lake Geneva;Construction ;No management;5 800;5 885;5 800;- 85;;;;;;;;;;;
2018;Lake Geneva;SECTOR 3 SERVICES ;No management;5 982;6 077;5 892;- 185;;;;;;;;;;;
2018;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;5 007;4 755;5 248; 493;;;;;;;;;;;
2018;Lake Geneva;Transportation and storage;No management;5 416;5 493;5 412;- 81;;;;;;;;;;;
2018;Lake Geneva;Hotels and restaurants;No management;4 204;4 108;4 275; 167;;;;;;;;;;;
2018;Lake Geneva;Information and communication;No management;7 357;6 488;7 667;1 179;;;;;;;;;;;
2018;Lake Geneva;Financial and insurance services;No management;6 944;6 648;7 642; 994;;;;;;;;;;;
2018;Lake Geneva;Professional, scientific and technical services;No management;6 667;6 500;6 886; 386;;;;;;;;;;;
2018;Lake Geneva;Other business services;No management;5 100;4 805;5 193; 388;;;;;;;;;;;
2018;Lake Geneva;Health and social work;No management;6 331;6 248;6 591; 343;;;;;;;;;;;
2018;Lake Geneva;Arts, entertainment and recreation;No management;6 916;6 916;6 917; 1;;;;;;;;;;;
2018;Lake Geneva;Other service activities Other service activities;No management;5 401;5 107;6 000; 893;;;;;;;;;;;
2016;Lake Geneva;TOTAL;Total ;6 591  ;6 329  ;6 770  ; 441;;;;;;;;;;;
2016;Lake Geneva;SECTOR 2 PRODUCTION;Total ;6 500  ;6 083  ;6 583  ; 500;;;;;;;;;;;
2016;Lake Geneva;Mining and quarrying;Total ;6 412 ;*;6 346  ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Manufacturing/production of Goods;Total ;6 693  ;6 000  ;6 952  ; 952;;;;;;;;;;;
2016;Lake Geneva;"Water supply; sewage and waste disposal";Total ;5 907  ;5 936  ;5 896  ;- 40;;;;;;;;;;;
2016;Lake Geneva;Construction ;Total ;6 205  ;5 983  ;6 225  ; 242;;;;;;;;;;;
2016;Lake Geneva;SECTOR 3 SERVICES ;Total ;6 626  ;6 367  ;6 918  ; 551;;;;;;;;;;;
2016;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 500  ;5 000  ;5 850  ; 850;;;;;;;;;;;
2016;Lake Geneva;Transportation and storage;Total ;5 963  ;5 843  ;5 994  ; 151;;;;;;;;;;;
2016;Lake Geneva;Hotels and restaurants;Total ;4 237  ;4 051  ;4 410  ; 359;;;;;;;;;;;
2016;Lake Geneva;Information and communication;Total ;8 451  ;7 156  ;8 853  ;1 697;;;;;;;;;;;
2016;Lake Geneva;Financial and insurance services;Total ;9 812  ;8 086  ;11 313  ;3 227;;;;;;;;;;;
2016;Lake Geneva;Professional, scientific and technical services;Total ;7 746  ;7 065  ;8 339  ;1 274;;;;;;;;;;;
2016;Lake Geneva;Other business services;Total ;5 400  ;5 101  ;5 477  ; 376;;;;;;;;;;;
2016;Lake Geneva;Health and social work;Total ;6 638  ;6 433  ;7 319  ; 886;;;;;;;;;;;
2016;Lake Geneva;Arts, entertainment and recreation;Total ;6 866  ;6 645  ;7 040  ; 395;;;;;;;;;;;
2016;Lake Geneva;Other service activities Other service activities;Total ;5 999  ;5 200  ;7 223  ;2 023;;;;;;;;;;;
2016;Lake Geneva;TOTAL;Top, upper,  middle management;11 048  ;9 617  ;11 603  ;1 986;;;;;;;;;;;
2016;Lake Geneva;SECTOR 2 PRODUCTION;Top, upper,  middle management;10 113  ;9 783 ;10 113  ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Mining and quarrying;Top, upper,  middle management;*;*;*;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Manufacturing/production of Goods;Top, upper,  middle management;10 883 ;10 847  ;10 909 ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;"Water supply; sewage and waste disposal";Top, upper,  middle management;9 193  ;*;9 423 ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Construction ;Top, upper,  middle management;8 559  ;7 164 ;8 778  ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;SECTOR 3 SERVICES ;Top, upper,  middle management;11 315  ;9 614  ;12 074  ;2 460;;;;;;;;;;;
